label_id,label_type,computation_method,geo_side,geo_dist_m,head_side,axis_angle_deg,edge_id,lat,lng,pano_id,gallery_url,your_side
179358,CurbRamp,approximation3,1.0,7.22,1.0,54.5,18803,47.62,-122.3,uexDCvNJVIVfMS_1Muc_WQ,https://sidewalk-seattle.cs.washington.edu/label/179358,
270647,CurbRamp,approximation3,1.0,4.8,1.0,89.04,13078,47.54,-122.36,c112h16jqTKc42xn-KAI-Q,https://sidewalk-seattle.cs.washington.edu/label/270647,
306446,CurbRamp,approximation3,-1.0,3.44,-1.0,42.94,6274,47.64,-122.35,bu9V8SeFi2pqPzK8PdFNhg,https://sidewalk-seattle.cs.washington.edu/label/306446,
310591,CurbRamp,approximation3,1.0,6.61,1.0,67.77,1414,47.67,-122.3,8T2Q9iw2EcEQEYMC3xWwcQ,https://sidewalk-seattle.cs.washington.edu/label/310591,
127298,CurbRamp,approximation3,-1.0,3.61,1.0,31.16,22749,47.58,-122.3,AtbOSIInDrL99PJA_Az96w,https://sidewalk-seattle.cs.washington.edu/label/127298,
295898,CurbRamp,approximation3,-1.0,4.02,1.0,0.91,27398,47.67,-122.39,_C-2qSwsNS_LgnA_2RaK9g,https://sidewalk-seattle.cs.washington.edu/label/295898,
293714,CurbRamp,approximation3,1.0,10.34,-1.0,4.43,95,47.67,-122.27,tcmvkpNEV136uj8lB0musg,https://sidewalk-seattle.cs.washington.edu/label/293714,
167343,CurbRamp,approximation3,1.0,1.14,-1.0,30.06,18993,47.6,-122.32,3nOo664ihNXuCHJDDIFofA,https://sidewalk-seattle.cs.washington.edu/label/167343,
144590,CurbRamp,approximation3,1.0,6.18,-1.0,33.13,2938,47.68,-122.38,_Nj6VX-T317DVp83OKFPYg,https://sidewalk-seattle.cs.washington.edu/label/144590,
297976,CurbRamp,approximation3,1.0,9.26,-1.0,59.68,7279,47.62,-122.3,p-bLQ88GtD-l6hFloKANzg,https://sidewalk-seattle.cs.washington.edu/label/297976,
144845,CurbRamp,approximation3,1.0,11.1,-1.0,14.17,19411,47.61,-122.3,37WMqvTVYcN1JAjHSp3AUg,https://sidewalk-seattle.cs.washington.edu/label/144845,
188456,CurbRamp,approximation3,-1.0,7.09,1.0,59.52,11198,47.66,-122.35,zK_KUOJdSTWyEFuU6WE1yw,https://sidewalk-seattle.cs.washington.edu/label/188456,
204567,NoCurbRamp,approximation3,1.0,5.54,1.0,15.67,17226,47.56,-122.3,05b4J77GmkrzoVMqpkuDPg,https://sidewalk-seattle.cs.washington.edu/label/204567,
285315,NoCurbRamp,approximation3,-1.0,9.51,-1.0,30.38,4087,47.53,-122.35,DQDD9pTYKJvwA4VoTRdy8g,https://sidewalk-seattle.cs.washington.edu/label/285315,
195751,NoCurbRamp,approximation3,1.0,4.0,1.0,33.17,10317,47.69,-122.33,23SuWAU5EqNox4XyeGmwkw,https://sidewalk-seattle.cs.washington.edu/label/195751,
152261,NoCurbRamp,approximation3,1.0,5.29,1.0,30.69,11159,47.66,-122.35,kLj8IurdVndUjWAhuK8tMg,https://sidewalk-seattle.cs.washington.edu/label/152261,
117724,NoCurbRamp,approximation3,-1.0,5.35,1.0,28.95,994,47.59,-122.29,Px2nlE8k6hS0WuA76y8HyA,https://sidewalk-seattle.cs.washington.edu/label/117724,
143785,NoCurbRamp,approximation3,-1.0,4.64,1.0,20.91,6561,47.65,-122.37,wsdzKnh7617AdPF6ZhsK2w,https://sidewalk-seattle.cs.washington.edu/label/143785,
289248,NoCurbRamp,approximation3,-1.0,7.76,1.0,30.18,18853,47.58,-122.39,VzaY6p0RvKsN9DGxloR5Fg,https://sidewalk-seattle.cs.washington.edu/label/289248,
245535,NoCurbRamp,approximation3,1.0,6.58,-1.0,54.74,11938,47.7,-122.28,2vbeLDO8Zr12QtZE2TWOeA,https://sidewalk-seattle.cs.washington.edu/label/245535,
